"","female","edu","age","participation","sexism"
"551",1,5,32,1,0.4375
"552",0,2,67,NA,0.25
"553",1,5,44,5,0.875
"554",1,3,55,1,0.25
"555",1,2,30,2,0.625
"556",1,2,46,1,0.375
"557",1,5,90,2,0.125
"558",0,4,23,2,0
"559",1,3,74,1,0.625
"560",1,6,22,1,0.1875
"561",0,4,69,1,0.625
"562",1,3,37,1,0.125
"563",1,4,28,NA,0.5
"564",1,4,60,1,0.375
"565",1,3,19,1,0
"566",1,2,65,1,0.4375
"567",1,1,76,0,0.625
"568",1,4,70,4,0.1875
"569",1,6,69,1,0.1875
"570",1,5,NA,0,0.1875
"571",1,2,62,1,0.5625
"572",1,5,37,0,0.375
"573",1,6,65,1,0.0625
"574",0,3,66,2,0.8125
"575",1,3,70,NA,0.125
"576",1,4,34,1,0.4375
"577",0,6,77,3,0.75
"578",1,3,25,1,0.6875
"579",0,6,50,2,0.25
"580",0,4,69,2,0.125
"581",0,6,50,1,0.6875
"582",NA,4,24,2,0.1875
"583",1,5,55,NA,0.1875
"584",1,1,66,NA,0.1875
"585",0,2,52,1,0.5625
"586",0,6,42,1,0.4375
"587",1,5,37,1,0.0625
"588",1,6,NA,0,0.5
"589",0,6,27,1,0
"590",0,5,38,1,0.5
"591",1,6,49,NA,0.1875
"592",1,3,28,1,0.5625
"593",1,6,54,7,0
"594",1,2,33,1,0.5
"595",1,5,41,NA,0.1875
"596",1,6,53,NA,0.8125
"597",1,3,38,1,0.25
"598",1,6,NA,0,0.5625
"599",1,5,47,2,0.5
"600",0,3,35,1,0.4375
"601",1,2,56,2,0.1875
"602",0,2,46,1,0.625
"603",1,3,68,1,0.4375
"604",1,5,60,NA,0.25
"605",1,5,86,2,0
"606",0,4,34,NA,0.4375
"607",0,6,89,NA,0.25
"608",0,6,36,NA,0.5
"609",1,3,65,NA,0.375
"610",1,3,27,1,0.375
"611",0,5,44,1,0.375
"612",1,6,75,2,0.4375
"613",0,5,69,NA,0.4375
"614",0,4,72,NA,0.625
"615",1,5,39,1,0
"616",0,2,34,2,0.25
"617",0,5,63,1,0.5625
"618",0,2,61,5,0.625
"619",1,5,48,2,0.375
"620",0,5,35,2,0
"621",1,1,21,NA,0.3125
"622",0,6,64,1,0.1875
"623",0,6,36,0,0
"624",0,2,23,1,0.5625
"625",1,5,64,2,0.625
"626",0,6,59,4,0.625
"627",1,2,53,1,0.625
"628",1,2,57,1,0.25
"629",1,3,84,1,0.375
"630",0,2,44,1,0.5
"631",0,5,24,1,0.625
"632",1,5,48,1,0.3125
"633",1,1,62,1,0.125
"634",1,5,66,1,0.5
"635",1,5,69,1,0.3125
"636",1,4,54,2,0.1875
"637",1,2,70,1,0.6875
"638",1,6,44,0,0.5
"639",1,4,56,2,0.5
"640",1,3,59,1,0.1875
"641",0,6,53,2,0.5
"642",1,5,60,2,0.25
"643",1,4,58,2,0.5
"644",0,2,54,NA,0.625
"645",0,4,32,NA,0.3125
"646",0,5,35,6,0
"647",0,4,36,1,0.5
"648",1,3,80,1,0.4375
"649",1,2,65,NA,0.5
"650",0,5,40,1,0.625
"651",0,4,20,0,0.625
"652",0,2,36,1,1
"653",0,3,19,0,0.5
"654",1,6,39,1,0
"655",1,6,41,1,0
"656",0,3,33,1,1
"657",1,5,35,1,0
"658",1,5,57,1,0
"659",1,3,31,1,0.125
"660",0,4,21,0,0.4375
"661",0,2,26,2,0.5
"662",0,2,22,0,0.5
"663",1,5,32,4,0
"664",1,2,40,NA,0.625
"665",NA,6,33,3,0.0625
"666",1,2,55,1,0.6875
"667",1,2,86,NA,0.0625
"668",1,6,51,1,0.4375
"669",1,4,61,1,0.1875
"670",0,2,63,0,0.25
"671",0,3,71,2,0.5
"672",0,5,46,0,0.5625
"673",1,6,34,0,0.1875
"674",0,3,25,1,0.375
"675",0,5,61,NA,NA
"676",NA,NA,90,NA,0
"677",1,4,20,2,0.0625
"678",1,4,30,NA,0.5
"679",0,5,76,3,0.4375
"680",0,4,41,1,0
"681",1,6,50,3,0
"682",1,4,73,4,0.5
"683",0,1,32,1,0.5625
"684",0,2,62,NA,0.375
"685",1,4,56,1,0.5
"686",0,5,24,NA,0
"687",1,2,34,1,0.625
"688",1,4,70,1,0.4375
"689",0,3,57,1,0.3125
"690",1,5,35,3,0.6875
"691",0,1,53,1,0.625
"692",1,5,67,2,0.4375
"693",1,2,21,2,0
"694",1,3,20,2,0.5
"695",1,5,40,NA,0.625
"696",1,3,61,1,0.375
"697",1,5,58,0,0.125
"698",1,5,36,2,0.1875
"699",0,5,25,NA,0.0625
"700",1,4,57,0,0.6875
"701",1,2,71,NA,0.5
"702",1,6,39,NA,0.5625
"703",0,3,NA,NA,NA
"704",1,6,65,1,0.5
"705",1,4,21,0,0.5625
"706",0,1,41,1,0.625
"707",1,2,51,2,0.75
"708",0,5,67,3,0.5
"709",1,5,29,2,0.3125
"710",1,3,31,1,0.1875
"711",1,3,21,1,0.1875
"712",1,6,NA,1,0.375
"713",0,5,52,3,0.5
"714",0,1,60,1,0.6875
"715",1,5,64,1,0.625
"716",1,5,41,NA,0.1875
"717",1,5,29,1,0.4375
"718",0,1,83,3,0.0625
"719",1,5,37,1,0
"720",1,5,56,NA,0.4375
"721",1,5,53,NA,0.0625
"722",1,6,72,1,0.75
"723",0,2,37,0,0.75
"724",1,5,69,NA,0.25
"725",1,3,21,1,0.5
"726",0,2,45,2,0.875
"727",1,3,40,1,0.5
"728",1,3,49,1,0.5625
"729",1,5,25,3,0
"730",0,2,33,0,0.75
"731",1,5,41,1,0.625
"732",1,6,67,5,0
"733",1,4,47,1,0.25
"734",1,5,53,0,0.5625
"735",1,2,62,1,0.375
"736",1,6,72,3,0.25
"737",1,4,45,NA,0.25
"738",1,3,52,NA,0.5
"739",1,6,49,2,0.0625
"740",1,2,18,1,0.625
"741",1,3,21,0,0.375
"742",0,5,50,0,0.1875
"743",1,6,68,1,0.25
"744",0,5,60,1,0.5
"745",0,6,47,1,0.375
"746",0,2,68,0,0.6875
"747",0,3,20,2,0.75
"748",1,4,65,NA,0.625
"749",1,4,36,1,0.125
"750",1,3,58,1,0
"751",1,5,82,1,0.5
"752",0,6,53,7,0.125
"753",1,5,54,1,0.125
"754",0,5,25,5,0.25
"755",1,3,35,0,0.4375
"756",0,2,38,0,0.5625
"757",1,1,52,4,0.0625
"758",1,6,48,1,0.375
"759",0,2,26,5,0.5
"760",0,6,54,2,0.5
"761",1,3,49,2,0.375
"762",1,5,32,NA,0.5
"763",0,6,67,1,0.1875
"764",0,5,NA,1,0.0625
"765",1,6,57,3,0
"766",1,5,56,3,0.0625
"767",0,4,87,NA,0.5
"768",0,6,36,1,0
"769",1,6,28,0,0.25
"770",1,5,29,1,0
"771",1,6,47,0,0.0625
"772",1,6,30,1,0.0625
"773",1,6,37,1,0.1875
"774",0,2,51,3,0.5625
"775",1,3,19,1,0.25
"776",1,3,32,0,0.125
"777",1,4,48,2,0.375
"778",0,6,64,2,0.3125
"779",1,3,90,2,0.125
"780",1,3,46,1,0.125
"781",1,6,65,4,0.25
"782",1,5,27,1,0.1875
"783",0,3,51,1,0.625
"784",1,5,46,1,0.375
"785",1,3,20,NA,0.3125
"786",1,3,NA,1,0.5
"787",0,4,68,4,0.5
"788",1,4,36,NA,0.0625
"789",1,4,71,NA,0.125
"790",0,5,39,1,0.5
"791",1,6,44,1,0.3125
"792",0,5,26,1,0.5
"793",0,2,39,NA,0.875
"794",1,2,70,NA,0.375
"795",1,2,57,1,0.25
"796",1,3,32,1,NA
"797",1,3,84,1,0.375
"798",0,5,25,4,0.0625
"799",0,6,48,4,0.25
"800",0,5,28,1,0.625
"801",0,3,54,1,0.625
"802",0,6,37,1,0.0625
"803",0,4,60,1,0.5625
"804",1,3,75,4,0.5
"805",0,4,21,2,0.0625
"806",0,5,47,1,0.625
"807",1,5,23,2,0.0625
"808",0,4,26,0,0.5
"809",0,4,42,NA,NA
"810",1,3,65,1,0.125
"811",0,5,64,1,0.25
"812",0,2,41,0,0
"813",1,2,62,5,0.375
"814",0,2,19,1,0.0625
"815",1,5,74,1,0.4375
"816",1,3,37,1,0
"817",1,3,64,0,0.4375
"818",1,5,39,1,0.0625
"819",1,6,29,3,0.1875
"820",0,6,28,NA,0.125
"821",0,1,67,0,0.5625
"822",1,2,74,1,0.1875
"823",NA,6,NA,2,0.5
"824",0,6,74,1,0.5625
"825",1,2,66,1,0.625
"826",0,6,65,NA,NA
"827",1,3,22,0,0.4375
"828",0,3,72,0,0.625
"829",1,3,49,NA,0.625
"830",0,1,41,NA,0.5
"831",0,2,48,NA,0.25
"832",0,3,21,1,0.0625
"833",0,5,27,1,0.6875
"834",1,2,84,NA,0.1875
"835",0,4,56,5,0
"836",0,NA,72,1,0.0625
"837",0,2,24,4,0.5625
"838",0,2,22,NA,0.5
"839",1,4,33,NA,0.75
"840",1,3,69,3,0.0625
"841",0,5,68,NA,0.5
"842",1,6,59,0,0
